sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	93126	95494						
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	96375	97926						
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	00610	AP006725	ISKpn1	IS3	1445	1	1445	105008	106453						
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	139640	142007						
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	142973	144524						
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	231432	233801						
consensus	chromosome			contig_3	335911	0.5659058500614746	1fe3b74d92afde8c58ef78341015d8c3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	234770	236325						
consensus	chromosome			contig_6	307858	0.5843180947060008	eebea823818723baff3da4a26087d704	00634	CP024842	IS1400	IS3	1207	1	1207	238044	239248						
consensus	chromosome			contig_6	307858	0.5843180947060008	eebea823818723baff3da4a26087d704	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	276022	277572						
consensus	chromosome			contig_6	307858	0.5843180947060008	eebea823818723baff3da4a26087d704	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	278452	280819						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	00918	LT898486	ISKpn26	IS5	1197	1	1196	138491	139685						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	01163	NC_002695	ISSgsp1	IS66	3044	353	2807	143063	145513						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	01169	KY174332	ISKpn24	IS66	2454	1	2454	149692	152140						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	186488	188044						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	188925	191293						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	00918	LT898486	ISKpn26	IS5	1197	1	1196	220719	221914						
consensus	chromosome			contig_4	295819	0.574881937941782	3c6b0d579c635f6ea4db4be56f15de07	00918	LT898486	ISKpn26	IS5	1197	1	1196	245656	246851						
consensus	chromosome			contig_2	228633	0.568719301238229	9a1d4659de7ef40b26e0fd3b1b80c720	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	175934	178301						
consensus	chromosome			contig_2	228633	0.568719301238229	9a1d4659de7ef40b26e0fd3b1b80c720	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	179264	180815						
consensus	chromosome			contig_5	223183	0.5608715717594979	9ded713447a0cc3c932f24545cccb7f2	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	91569	93121						
consensus	chromosome			contig_5	223183	0.5608715717594979	9ded713447a0cc3c932f24545cccb7f2	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	93854	96224						
consensus	chromosome			contig_80	209926	0.5863208940293246	079e23dbfdb46fbb98dab9d377fa7f4b	00954	MF344567	IS903	IS5	1057	1	1057	1860	2916						
