sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	00918	LT898486	ISKpn26	IS5	1197	1	1196	9401	10596						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	391237	393606						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	394528	396079						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01077	NC_004851	IS630	IS630	1160	1	1160	703324	704484						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01077	NC_004851	IS630	IS630	1160	1	1159	715713	716871						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	998954	1001323						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	1002099	1003650						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	1072182	1074459						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	1152870	1155261						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	1156159	1157709						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	1195449	1197840						
consensus	chromosome			contig_6	1352454	0.523917264468884	3ff5d840f0dcdbe525894946632dcbb3	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	1198863	1200419						
consensus	chromosome			contig_8	1184691	0.5150997179855338	a59474452cfa934054a38a54f1249202	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	90821	93096						
consensus	chromosome			contig_8	1184691	0.5150997179855338	a59474452cfa934054a38a54f1249202	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	93102	95381						
consensus	chromosome			contig_8	1184691	0.5150997179855338	a59474452cfa934054a38a54f1249202	00543	JX424614	ISKpn34	IS3	1221	1	1221	194734	195954						
consensus	chromosome			contig_8	1184691	0.5150997179855338	a59474452cfa934054a38a54f1249202	01077	NC_004851	IS630	IS630	1160	1	1159	328513	329671						
consensus	chromosome			contig_8	1184691	0.5150997179855338	a59474452cfa934054a38a54f1249202	00918	LT898486	ISKpn26	IS5	1197	1	1196	655868	657063						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	190	2571						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3652	5203						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01400	CP016586.1	23s-rRNA	23S	3027	658	3027	91070	93442						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	94361	95913						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	562014	563567						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	564591	566982						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	01077	NC_004851	IS630	IS630	1160	1	1159	720369	721528						
consensus	chromosome			contig_1	1089487	0.5223559344902693	1623864a2026ce654a2c975f14d5c9ec	00543	JX424614	ISKpn34	IS3	1221	1	1221	1060736	1061956						
consensus	chromosome			contig_2	690271	0.5024910506163521	4312bc63a40cd3c5ecd07cff1d029b85	01077	NC_004851	IS630	IS630	1160	1	1159	297215	298373						
consensus	chromosome			contig_2	690271	0.5024910506163521	4312bc63a40cd3c5ecd07cff1d029b85	01077	NC_004851	IS630	IS630	1160	1	1159	507473	508631						
consensus	chromosome			contig_10	284327	0.5074403767493063	dc77f56c2228507d9dced26c3a0c36c2	00918	LT898486	ISKpn26	IS5	1197	1	1196	91110	92305						
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00954	MF344567	IS903	IS5	1057	1	1057	14216	15272	1057	plus	100.0	99.622	0.0	1930
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	01315	CP022426	ISStma11	ISL3	4426	542	3969	30391	33823	3450	plus	77.0	83.855	0.0	3249
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00918	LT898486	ISKpn26	IS5	1197	1	1105	37493	38597	1105	minus	92.0	99.276	0.0	1997
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	01077	NC_004851	IS630	IS630	1160	1	1159	47334	48492	1160	minus	99.0	88.362	0.0	1393
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00918	LT898486	ISKpn26	IS5	1197	1	1196	54164	55359	1196	plus	99.0	99.331	0.0	2165
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	01077	NC_004851	IS630	IS630	1160	1	1160	98520	99679	1161	plus	100.0	88.372	0.0	1395
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00733	NC_000913	IS30D	IS30	1221	1	1221	162341	163562	1222	plus	100.0	99.836	0.0	2244
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00952	MG930932	IS102	IS5	1055	1	1055	176830	177883	1056	minus	100.0	95.076	0.0	1659
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00278	KY320277	ISSen3	IS21	1956	1	1956	179486	181441	1956	plus	100.0	99.898	0.0	3602
consensus	plasmid	AB130		contig_4	201735	0.49640369792053934	52c7c229a34c396db63cce87e9ffbb71	00429	MF344562	ISKpn38	IS3	1598	1	1598	190253	191850	1598	plus	100.0	99.312	0.0	2891
consensus	plasmid	AB130		contig_3	91957	0.5535957023391368	b36a39e761f96cbf7128a2449f2327e1	00954	MF344567	IS903	IS5	1057	1	1057	2300	3351	1063	minus	100.0	97.648	0.0	1808
consensus	plasmid	AB130		contig_3	91957	0.5535957023391368	b36a39e761f96cbf7128a2449f2327e1	01386	KX710093	ISArsp6	Tn3	9319	3	4327	39609	43933	4326	plus	46.0	90.8	0.0	5782
consensus	plasmid	AB130		contig_3	91957	0.5535957023391368	b36a39e761f96cbf7128a2449f2327e1	01386	KX710093	ISArsp6	Tn3	9319	3328	9318	49023	55031	6037	minus	64.0	90.111	0.0	7773
consensus	plasmid	AB130		contig_3	91957	0.5535957023391368	b36a39e761f96cbf7128a2449f2327e1	00918	LT898486	ISKpn26	IS5	1197	1	1196	56806	58001	1196	plus	99.0	99.415	0.0	2170
consensus	plasmid	AB130		contig_3	91957	0.5535957023391368	b36a39e761f96cbf7128a2449f2327e1	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	81608	83885	2278	minus	100.0	99.956	0.0	4202
consensus	plasmid	AB130		contig_11	5013	0.6136046279672851	9edd62f46e7923a67354425d0b78d0bd	01315	CP022426	ISStma11	ISL3	4426	542	3992	956	4408	3486	minus	78.0	83.075	0.0	3107
