Muestra	Filogrupo
medaka_ERR13298048	U/cryptic
medaka_ERR13298057	U/cryptic
medaka_ERR13298082	U/cryptic
medaka_ERR13298088	U/cryptic
medaka_ERR13298122	U/cryptic
