Database	Plasmid	Identity	Query / Template length	Contig	Position in contig	Note	Accession number
enterobacteriales	IncFIB(K)	98.93	560 / 560	contig_24	14935..15494		JN233704
enterobacteriales	IncFII(K)	97.3	148 / 148	contig_18	98929..99076		CP000648
enterobacteriales	repB(R1701)	99.52	623 / 623	contig_22	9342..9964		CP039970
