sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
consensus	chromosome			contig_10	988506	0.5243195286624461	c06d1941d5920a3c60df555c0a7faf6e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	339077	340628						
consensus	chromosome			contig_10	988506	0.5243195286624461	c06d1941d5920a3c60df555c0a7faf6e	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	341551	343919						
consensus	chromosome			contig_10	988506	0.5243195286624461	c06d1941d5920a3c60df555c0a7faf6e	00918	LT898486	ISKpn26	IS5	1197	1	1196	638690	639885						
consensus	chromosome			contig_6	838937	0.5198924353080148	cdf4532797533e3263160408759bc490	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	334588	336141						
consensus	chromosome			contig_6	838937	0.5198924353080148	cdf4532797533e3263160408759bc490	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	337165	339557						
consensus	chromosome			contig_6	838937	0.5198924353080148	cdf4532797533e3263160408759bc490	01077	NC_004851	IS630	IS630	1160	1	1159	711140	712297						
consensus	chromosome			contig_6	838937	0.5198924353080148	cdf4532797533e3263160408759bc490	00543	JX424614	ISKpn34	IS3	1221	1	1221	818658	819878						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	132684	134238						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	135136	137529						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	223501	225054						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	226113	228506						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	380761	382313						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	383336	385729						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	423457	425007						
consensus	chromosome			contig_8	509189	0.5279179243856407	6806f05c2ebdf4a9ae1cdd7dac458f35	01400	CP016586.1	23s-rRNA	23S	3027	639	3027	425905	428296						
consensus	chromosome			contig_23	357511	0.507671092637709	e09d47ab2287b1ac3825c04088bb3e11	00543	JX424614	ISKpn34	IS3	1221	1	1221	333430	334651						
consensus	chromosome			contig_9	308749	0.5207790146688734	a3f00a01ac1a78fac194fed3fafb91cc	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	47064	49341						
consensus	chromosome			contig_9	308749	0.5207790146688734	a3f00a01ac1a78fac194fed3fafb91cc	01077	NC_004851	IS630	IS630	1160	1	1159	115915	117073						
consensus	chromosome			contig_9	308749	0.5207790146688734	a3f00a01ac1a78fac194fed3fafb91cc	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	119033	120584						
consensus	chromosome			contig_9	308749	0.5207790146688734	a3f00a01ac1a78fac194fed3fafb91cc	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	121358	123726						
consensus	chromosome			contig_12	273468	0.5069697368613513	970778b7ea95204a9fb2fb48b721bf8f	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	56831	59108						
consensus	chromosome			contig_12	273468	0.5069697368613513	970778b7ea95204a9fb2fb48b721bf8f	00918	LT898486	ISKpn26	IS5	1197	1	1196	191215	192410						
consensus	chromosome			contig_18	180027	0.510634515933721	2ea8ead0121fe0a5ff21906e50501a4c	00918	LT898486	ISKpn26	IS5	1197	1	1196	47240	48435						
consensus	chromosome			contig_7	157375	0.5301477362986498	717e1396a1e138d17d65858d6639c847	01077	NC_004851	IS630	IS630	1160	1	1159	44809	45967						
consensus	chromosome			contig_7	157375	0.5301477362986498	717e1396a1e138d17d65858d6639c847	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	152223	154591						
consensus	chromosome			contig_7	157375	0.5301477362986498	717e1396a1e138d17d65858d6639c847	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	155517	157070						
consensus	chromosome			contig_15	154757	0.5186905923480036	17663c6f769fab6df56a3b4715b013f9	01362	MF344564	ISKpn21	ISNCY	2278	4	2278	1	2275						
consensus	chromosome			contig_35	89383	0.5083293243681685	4d4f5103352a1ea641f3523e02e3faa4	01291	MF156708	ISKpn25	ISL3	2239	1	2239	41906	44145						
consensus	chromosome			contig_14	78293	0.5016923607474487	28ccdc501f0ada5b3d4fde881f95df63	01362	MF344564	ISKpn21	ISNCY	2278	4	2278	1	2277						
